HDR,ROLLING SYSTEM DEMAND
VD,20201017012500,23044
VD,20201017013000,23125
VD,20201017013500,23275
VD,20201017014000,23158
VD,20201017014500,23074
VD,20201017015000,22941
VD,20201017015500,22878
VD,20201017020000,22797
VD,20201017020500,22881
VD,20201017021000,23037
VD,20201017021500,23047
VD,20201017022000,22980
VD,20201017022500,22895
VD,20201017023000,22827
VD,20201017023500,22842
VD,20201017024000,22779
VD,20201017024500,22710
VD,20201017025000,22729
VD,20201017025500,22668
VD,20201017030000,22665
VD,20201017030500,22781
VD,20201017031000,22729
VD,20201017031500,22669
VD,20201017032000,22615
VD,20201017032500,22632
VD,20201017033000,22647
VD,20201017033500,22741
VD,20201017034000,22667
VD,20201017034500,22608
VD,20201017035000,22588
VD,20201017035500,22533
VD,20201017040000,22550
VD,20201017040500,22521
VD,20201017041000,22498
VD,20201017041500,22536
VD,20201017042000,22561
VD,20201017042500,22596
VD,20201017043000,22722
VD,20201017043500,22823
VD,20201017044000,22827
VD,20201017044500,22922
VD,20201017045000,23041
VD,20201017045500,23028
VD,20201017050000,23135
VD,20201017050500,23198
VD,20201017051000,23436
VD,20201017051500,23574
VD,20201017052000,23718
VD,20201017052500,23955
VD,20201017053000,24084
VD,20201017053500,24333
VD,20201017054000,24429
VD,20201017054500,24686
VD,20201017055000,25038
VD,20201017055500,25158
VD,20201017060000,25385
VD,20201017060500,25820
VD,20201017061000,26194
VD,20201017061500,26478
VD,20201017062000,26568
VD,20201017062500,26725
VD,20201017063000,26878
VD,20201017063500,27087
VD,20201017064000,27275
VD,20201017064500,27526
VD,20201017065000,27786
VD,20201017065500,28078
VD,20201017070000,28276
VD,20201017070500,28656
VD,20201017071000,28889
VD,20201017071500,29121
VD,20201017072000,29349
VD,20201017072500,29592
VD,20201017073000,29781
VD,20201017073500,29986
VD,20201017074000,30074
VD,20201017074500,30198
VD,20201017075000,30373
VD,20201017075500,30507
VD,20201017080000,30632
VD,20201017080500,30974
VD,20201017081000,31117
VD,20201017081500,31327
VD,20201017082000,31485
VD,20201017082500,31682
VD,20201017083000,31767
VD,20201017083500,31732
VD,20201017084000,31633
VD,20201017084500,31637
VD,20201017085000,31675
VD,20201017085500,31671
VD,20201017090000,31675
VD,20201017090500,31797
VD,20201017091000,31906
VD,20201017091500,31932
VD,20201017092000,31940
VD,20201017092500,31894
VD,20201017093000,31842
VD,20201017093500,31822
VD,20201017094000,31836
VD,20201017094500,31845
VD,20201017095000,31866
VD,20201017095500,31905
VD,20201017100000,31946
VD,20201017100500,31848
VD,20201017101000,31868
VD,20201017101500,31944
VD,20201017102000,31868
VD,20201017102500,31831
VD,20201017103000,31804
VD,20201017103500,31743
VD,20201017104000,31677
VD,20201017104500,31649
VD,20201017105000,31650
VD,20201017105500,31648
VD,20201017110000,31690
VD,20201017110500,31618
VD,20201017111000,31689
VD,20201017111500,31816
VD,20201017112000,31899
VD,20201017112500,31886
VD,20201017113000,31884
VD,20201017113500,31872
VD,20201017114000,31817
VD,20201017114500,31661
VD,20201017115000,31529
VD,20201017115500,31564
VD,20201017120000,31308
VD,20201017120500,31264
VD,20201017121000,31232
VD,20201017121500,31131
VD,20201017122000,31048
VD,20201017122500,31030
VD,20201017123000,31072
VD,20201017123500,30874
VD,20201017124000,31164
VD,20201017124500,31155
VD,20201017125000,30907
VD,20201017125500,30773
VD,20201017130000,30808
VD,20201017130500,30745
VD,20201017131000,30730
VD,20201017131500,30776
VD,20201017132000,30735
VD,20201017132500,30727
VD,20201017133000,30652
VD,20201017133500,30597
VD,20201017134000,30540
VD,20201017134500,30556
VD,20201017135000,30542
VD,20201017135500,30611
VD,20201017140000,30663
VD,20201017140500,30851
VD,20201017141000,31013
VD,20201017141500,30937
VD,20201017142000,30936
VD,20201017142500,30970
VD,20201017143000,31052
VD,20201017143500,31140
VD,20201017144000,31273
VD,20201017144500,31383
VD,20201017145000,31405
VD,20201017145500,31573
VD,20201017150000,31876
VD,20201017150500,32088
VD,20201017151000,32274
VD,20201017151500,32390
VD,20201017152000,32499
VD,20201017152500,32689
VD,20201017153000,32995
VD,20201017153500,33171
VD,20201017154000,33405
VD,20201017154500,33533
VD,20201017155000,33903
VD,20201017155500,34244
VD,20201017160000,34488
VD,20201017160500,34905
VD,20201017161000,34880
VD,20201017161500,35042
VD,20201017162000,35199
VD,20201017162500,35292
VD,20201017163000,35398
VD,20201017163500,35538
VD,20201017164000,35769
VD,20201017164500,35951
VD,20201017165000,36272
VD,20201017165500,36365
VD,20201017170000,36314
VD,20201017170500,36336
VD,20201017171000,36327
